x,y
1041313161.8569875, 76286.89190557925
563477347.1947311, 74445.96353212964
250191090.3759318, 105696.03604103121
135327008.9725107, 91794.61142408646
70818695.58792815, 83113.5498961464
31945642.74506839, 95027.78733738874
17001471.723640252, 91966.94134825112
9348483.804613268, 76612.66865027066
4078488.9473062414, 82637.2840264636
2171614.3497676016, 91374.10935687035
1174191.5518816581, 71809.54046968794
521027.4919445153, 85595.4289723323
281778.6721166354, 71305.97732627005
149971.61589765974, 70168.19614467782
65418.71605879814, 72599.33339403632
35989.70092665751, 69676.14289955919
19152.570025072026, 66318.08506668027
8483.083485424764, 47564.867722819734
4595.481914379269, 63167.34784832946
2570.404267724036, 60120.27658552578
1083.5524198537216, 47258.25781671123
606.5395903977106, 55851.94190013647
328.3891874300089, 63318.228684496884
143.05245477366802, 45037.36409359966
78.75848586809155, 53227.98812887791
18.24811684618086, 31019.364049392672
27.188544305492726, 35133.85999643807
35.461167251987334, 36315.17173454595
49.47421567928421, 49405.225854460965
62.35934380939145, 38797.1247468561
