x,y
511278.90835378744,104058.45579522998
549895.7336827964,104700.54360468975
602294.1323412452,105824.19727124435
602294.1323412452,107268.90599763326
630337.5805229244,108232.03771182292
665717.3794434515,108874.13667638709
684145.6384663474,108553.0927716572
703083.0863720096,107589.96105746753
715999.0217773442,106305.77428344365
735819.1674440907,105021.58750941964
756187.9705283762,103737.40073539571
777119.5268198659,103095.3240810403
805933.9858187239,103095.3240810403
828243.0535354266,103576.87878303073
866806.0075468427,104700.54360468975
890793.6277080785,106466.29623580856
898945.2788703652,108232.03771182292
915459.2860764487,110158.32345041109
949402.1143374739,111442.49906933059
966843.1709410734,112566.16389098956
993605.8091180652,113047.74090318885
1011858.7705356877,112887.20779571944
1030447.1914221072,112405.64193862463
1049376.8709746934,111442.49906933059
1068645.5104538782,110479.36735514092
1078424.6839306564,109676.75759331622
1098235.032521811,109034.65862875206
1128636.319697399,108874.13667638709
1159878.3588296464,108874.13667638709
1191984.880961393,109195.18058111699
1224981.0885384828,109837.2795456812
1247484.6875729582,110479.36735514092
1270400.708647184,110800.4112598708
1282015.6046112964,110800.4112598708
1293737.6011198454,110479.36735514092
1317504.2038102397,109837.2795456812
1341707.2222617664,108874.13667638709
1366354.8587270097,108232.03771182292
1391454.4988663883,107589.96105746753
1417015.1143474837,107268.90599763326
1443046.3862219576,107589.96105746753
1469555.9687514608,108553.0927716572
1482992.5156283793,109837.2795456812
1510234.7640339972,111603.0210216955
1524043.248115985,113368.78480791874
1566230.4164371039,114813.48237920317
1566230.4164371039,115616.10329613229
1580551.2170405015,115937.14720086218
1609586.8414877066,115616.10329613229
1639154.5999923015,114652.96042683825
1654142.0653780382,113368.78480791874
1684515.392622725,112405.64193862463
1699930.3904752568,111763.54297406047
1715473.5539361797,111121.45516460069
1731158.591671191,110800.4112598708
1762960.9592151174,110158.32345041109
1779080.5621187098,109034.65862875206
1795346.1667426073,107589.96105746753
1811760.4829535012,105984.71922360933
1845043.2937924308,104379.49969995987
1845043.2937924308,103095.3240810403
