x,y
104.37075463891733, 19521.047076814808
438.70211562960657,19459.304836440093
2423195.8409889387,19806.90912870398
568.3252004583793,19459.304836440093
696.5175491872603,19111.652228894764
1925.798242233269,21892.67982813162
4186.8958226520535,21545.051378226945
13421.905526044515,20154.51342096786
16449.395661785187,19459.304836440093
18379.479670630968,19111.652228894764
19427.84213503351,19459.304836440093
24254.431318610626,19806.90912870398
25168.169312047325,20502.19018615385
28121.263522320878,20502.19018615385
31420.87546436965,21545.051378226945
33832.9719191367,21892.67982813162
39226.90719942004,22587.93672794084
41464.456732549756,21545.051378226945
48075.06713302048,21545.051378226945
57839.59156141969,21197.447085963064
58919.0493172145,21892.67982813162
69587.35824808232,20849.79447841773
70885.9831094232,20849.79447841773
74929.39336474029,20849.79447841773
76327.83002645565,20502.19018615385
80681.55675991143,19806.90912870398
83721.20717354653,20154.51342096786
86875.26378269464,20849.79447841773
95290.30177965929,21545.051378226945
97068.74206231193,22587.93672794084
106471.15555961181,22935.613493126824
110482.29423696718,23283.217785390705
112544.25256945926,22935.613493126824
116784.36930166336,22935.613493126824
125749.59254899746,22240.33243567695
130487.0169874173,21892.67982813162
143126.43997445193,22240.33243567695
148518.7226824578,21892.67982813162
148518.7226824578,22240.33243567695
151290.58586489773,22587.93672794084
154114.11542106976,22587.93672794084
154114.11542106976,22240.33243567695
159920.10724461402,22240.33243567695
162904.75893967907,21892.67982813162
165945.11436015114,21892.67982813162
169041.94770102756,21892.67982813162
172196.77014313915,22240.33243567695
172196.77014313915,22935.613493126824
175410.52097513468,22935.613493126824
178684.2763382419,23630.846235295245
182019.13108192157,25021.360034913672
182019.13108192157,24326.10313510446
182019.13108192157,22587.93672794084
185415.93439237366,22935.613493126824
185415.93439237366,24326.10313510446
188876.39775021438,23630.846235295245
195992.25227265232,23978.498842840574
199650.13256077946,23978.498842840574
203375.96196774123,23283.217785390705
203375.96196774123,22587.93672794084
207171.6177540746,21545.051378226945
207171.6177540746,22935.613493126824
207171.6177540746,21197.447085963064
211038.14292562997,21545.051378226945
211038.14292562997,20154.51342096786
211038.14292562997,21892.67982813162
211038.14292562997,19806.90912870398
263467.35116116627,20154.51342096786
328922.2661402728,21197.447085963064
360782.81248107605,21892.67982813162
381361.8041165759,21892.67982813162
381361.8041165759,21545.051378226945
442161.7548297246,20849.79447841773
467383.1215310611,19806.90912870398
503263.08748921106,19459.304836440093
552010.8877178747,19459.304836440093
552010.8877178747,19806.90912870398
583497.330388376,20154.51342096786
616780.8895464651,20502.19018615385
640017.0791183346,20849.79447841773
651961.6897430792,20849.79447841773
664129.5065106929,20502.19018615385
689149.5744937644,20154.51342096786
702011.3431352911,19806.90912870398
715113.2562176699,19459.304836440093
742053.741576113,18764.047936630883
770010.5856073499,19111.652228894764
799020.8166361919,19459.304836440093
829122.3542940556,19806.90912870398
844596.4694805616,20154.51342096786
860359.5047093057,20502.19018615385
876416.731648059,20849.79447841773
892772.2391032497,20849.79447841773
926406.9995821906,20849.79447841773
943696.8968269052,20502.19018615385
961309.4822063934,20502.19018615385
979249.2405829896,20502.19018615385
997525.2109106518,20849.79447841773
1016142.4152316855,21197.447085963064
1016142.4152316855,22240.33243567695
1054423.5820561282,22935.613493126824
1094148.9469114975,23283.217785390705
1114569.4779211385,23283.217785390705
1135371.1253115865,22587.93672794084
1156559.186006782,21545.051378226945
1178143.999275125,21892.67982813162
1200131.9915860987,21197.447085963064
1222530.5257335943,20849.79447841773
1222530.5257335943,21545.051378226945
1245347.0925104006,21197.447085963064
1268587.501918774,20502.19018615385
1316381.48359966,20849.79447841773
1340949.0533852666,20849.79447841773
1365973.566779057,20849.79447841773
1365973.566779057,21545.051378226945
1391467.267300821,21545.051378226945
1417436.5644268084,21545.051378226945
1443890.7390616091,21545.051378226945
1470838.638335067,21892.67982813162
1470838.638335067,22240.33243567695
1498286.4826402094,22587.93672794084
1526249.59101448,22240.33243567695
1554734.3639221187,21892.67982813162
1554734.3639221187,21197.447085963064
1583750.981248167,20849.79447841773
1613309.147086022,20849.79447841773
1643416.388116289,21545.051378226945
1674087.873883606,21545.051378226945
1705331.3023131918,21545.051378226945
1705331.3023131918,22240.33243567695
1737158.569376694,21892.67982813162
1737158.569376694,22240.33243567695
1769579.8412106154,22240.33243567695
1769579.8412106154,21545.051378226945
1802603.3735558325,21545.051378226945
1802603.3735558325,21197.447085963064
1836245.8053314546,20849.79447841773
1870516.3811200098,20849.79447841773
1870516.3811200098,21892.67982813162
1905425.7461489257,21197.447085963064
1940984.4066252632,21545.051378226945
1940984.4066252632,21197.447085963064
1977209.760016677,21197.447085963064
1977209.760016677,20154.51342096786
2014110.9138885022,20502.19018615385
2051701.0559710937,21197.447085963064
2089992.757621249,21545.051378226945
2089992.757621249,21197.447085963064
2128995.769423967,20849.79447841773
2128995.769423967,20502.19018615385
2168729.1239190167,20502.19018615385
2209204.650960401,20502.19018615385
2209204.650960401,20849.79447841773
2209204.650960401,21197.447085963064
2250435.9039894547,22240.33243567695
2292436.6720680064,21892.67982813162
2335217.650256375,21892.67982813162
2335217.650256375,22240.33243567695
2378800.393766403,21545.051378226945
2423195.8409889387,21197.447085963064
2423195.8409889387,20502.19018615385
2468420.8955420973,19806.90912870398
2514486.054845549,19459.304836440093
2561414.8944712905,19459.304836440093
2561414.8944712905,19806.90912870398
2609219.2129922016,20502.19018615385
2657916.0947104166,20154.51342096786
2657916.0947104166,20502.19018615385
2657916.0947104166,20849.79447841773
2707521.8254349707,20849.79447841773
2707521.8254349707,20502.19018615385
2758047.8556740372,20154.51342096786
2758047.8556740372,20502.19018615385
2809522.38473321,20849.79447841773
2809522.38473321,20154.51342096786
2861957.1945960373,20154.51342096786
2861957.1945960373,19806.90912870398
2861957.1945960373,19111.652228894764
2861957.1945960373,19459.304836440093
2915371.0244091316,20154.51342096786
2915371.0244091316,19806.90912870398
2969781.7374812444,20502.19018615385
2969781.7374812444,20154.51342096786
3025203.1889365716,20502.19018615385
3025203.1889365716,20154.51342096786
3081662.4231219296,20502.19018615385
3081662.4231219296,21197.447085963064
3081662.4231219296,20849.79447841773
3139176.249705362,20849.79447841773
3139176.249705362,20154.51342096786
3197763.9274916253,20154.51342096786
3197763.9274916253,20502.19018615385
3197763.9274916253,21892.67982813162
3257445.0500912243,21892.67982813162
3257445.0500912243,22587.93672794084
3318234.8146835347,22240.33243567695
3318234.8146835347,22587.93672794084
3380163.850214109,21892.67982813162
3380163.850214109,22587.93672794084
3707578.1911554793,23283.217785390705
8841466.708514167,22587.93672794084
10063256.17445431,21892.67982813162
11453850.2561151,21197.447085963064
11667612.960153995,20849.79447841773
12333136.944801949,19806.90912870398
12797778.235267973,19111.652228894764
13036622.608128624,19806.90912870398
13279924.52302486,19111.652228894764
15397127.725070748,19806.90912870398
15684506.031774875,20154.51342096786
15977202.472287687,21197.447085963064
15977202.472287687,20849.79447841773
16275384.299977506,20849.79447841773
16579131.082015028,20849.79447841773
16579131.082015028,20154.51342096786
16888546.676898915,20154.51342096786
17203736.881434165,20154.51342096786
17524809.466907024,20154.51342096786
17524809.466907024,20502.19018615385
17851874.215934318,20502.19018615385
18185042.96000123,20502.19018615385
18524456.06006129,20154.51342096786
18524456.06006129,19806.90912870398
18870150.23367642,19459.304836440093
18870150.23367642,19111.652228894764
19222323.018318623,18764.047936630883
19581068.388165943,18764.047936630883
19946509.00708701,18764.047936630883
20318798.831882253,18764.047936630883
20697978.13670308,19459.304836440093
21084263.593183395,19806.90912870398
21084263.593183395,20154.51342096786
21477758.278164323,20154.51342096786
21878596.737160414,20154.51342096786
21878596.737160414,20502.19018615385
22286916.02670369,24326.10313510446
22286916.02670369,25021.360034913672
22702855.761205845,20502.19018615385
