x,y
18.504215099204554, 48809.84441618055
26.10724482779736, 52824.97792308826
41.74568113527719, 34245.18469739198
143.68713769405178, 44454.89694583017
319.1271545487737, 41756.12102751312
606.1211749072766, 63443.33624511009
1115.745435730312, 44506.93452676479
2517.132066311787, 51724.684991628616
4706.593403247138, 41491.82914265072
8663.87832154972, 58260.48742914001
19854.01038095208, 75612.4602891408
36547.18294057009, 47126.498873934805
66231.49415512841, 52645.07664430175
151775.0738986233, 31299.393494007847
283792.64288476325, 28037.923983794983
514294.37937953003, 20949.84941668852
1197133.8067963652, 29420.53833261003
2203679.1258708793, 17215.718856029234
4056523.7254427415, 28752.734914794008
9151555.20253864, 22175.179315119352
17381633.97418989, 23442.221161423207
31996042.334610987, 30661.145355093286
73321638.77240582, 14967.528556566005
134970179.54057404, 15331.170974303437
569350083.1979132, 9788.737073306875
244595504.717681, 9707.168548394404
48.05811191230011, 55842.28565677745
76.84528295066394, 61887.09352189019
59.82696092809753, 45496.33238368247
69.95956688353607, 50412.20810431801
61.72867801882532, 45497.14499411921
35.14522796571568, 46205.51725565238
